"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-25T16:03:00.000Z","5.07","5.08","5.07","5.08","0.0986","0.1015","17,213"
"2025-07-25T16:04:00.000Z","5.07","5.09","5.07","5.08","0.0985","0.1014","77,309"
"2025-07-25T16:05:00.000Z","5.08","5.09","5.07","5.08","-0.0984","-0.0955","75,985"
"2025-07-25T16:06:00.000Z","5.08","5.08","5.07","5.08","","0.0029","11,605"
"2025-07-25T16:07:00.000Z","5.08","5.08","5.08","5.08","","0.0029","11,532"
"2025-07-25T16:08:00.000Z","5.08","5.09","5.07","5.08","0.1005","0.1034","24,378"
"2025-07-25T16:09:00.000Z","5.08","5.08","5.08","5.08","-0.0039","-0.0010","12,853"
"2025-07-25T16:10:00.000Z","5.08","5.08","5.07","5.07","-0.1949","-0.1920","17,523"
"2025-07-25T16:11:00.000Z","5.07","5.08","5.05","5.05","-0.2959","-0.2929","77,100"
"2025-07-25T16:12:00.000Z","5.06","5.06","5.05","5.06","0.0989","0.1018","54,066"
"2025-07-25T16:13:00.000Z","5.06","5.06","5.05","5.05","-0.0988","-0.0959","36,566"
"2025-07-25T16:14:00.000Z","5.05","5.06","5.05","5.05","","0.0029","29,432"
"2025-07-25T16:15:00.000Z","5.06","5.07","5.05","5.07","0.1978","0.2007","67,735"
"2025-07-25T16:16:00.000Z","5.07","5.08","5.07","5.07","0.1165","0.1194","105,632"
"2025-07-25T16:17:00.000Z","5.08","5.08","5.06","5.07","-0.1164","-0.1134","47,507"
"2025-07-25T16:18:00.000Z","5.06","5.08","5.06","5.08","0.1974","0.2004","45,231"
"2025-07-25T16:19:00.000Z","5.07","5.08","5.07","5.07","-0.0985","-0.0956","20,793"
"2025-07-25T16:20:00.000Z","5.08","5.08","5.06","5.07","-0.0947","-0.0918","70,640"
"2025-07-25T16:21:00.000Z","5.06","5.07","5.06","5.07","0.0197","0.0227","40,763"
"2025-07-25T16:22:00.000Z","5.07","5.07","5.06","5.06","-0.1204","-0.1175","25,242"
"2025-07-25T16:23:00.000Z","5.06","5.07","5.06","5.06","-0.0020","0.0009","9,528"
"2025-07-25T16:24:00.000Z","5.07","5.09","5.06","5.08","0.3992","0.4021","41,352"
"2025-07-25T16:25:00.000Z","5.08","5.09","5.08","5.08","0.0945","0.0974","39,426"
"2025-07-25T16:26:00.000Z","5.08","5.09","5.08","5.08","","0.0029","56,367"
"2025-07-25T16:27:00.000Z","5.08","5.09","5.08","5.08","-0.1967","-0.1937","26,877"
"2025-07-25T16:28:00.000Z","5.08","5.08","5.08","5.08","","0.0029","45,976"
"2025-07-25T16:29:00.000Z","5.07","5.09","5.07","5.09","0.2601","0.2630","63,591"
"2025-07-25T16:30:00.000Z","5.08","5.09","5.08","5.08","-0.1612","-0.1582","14,631"
"2025-07-25T16:31:00.000Z","5.08","5.08","5.08","5.08","0.0984","0.1013","6,751"
"2025-07-25T16:32:00.000Z","5.09","5.09","5.08","5.09","0.0472","0.0501","9,096"
"2025-07-25T16:33:00.000Z","5.08","5.09","5.08","5.08","-0.0472","-0.0443","20,062"
"2025-07-25T16:34:00.000Z","5.08","5.08","5.08","5.08","-0.0964","-0.0934","2,600"
"2025-07-25T16:35:00.000Z","5.08","5.09","5.08","5.08","0.0965","0.0994","3,000"
"2025-07-25T16:36:00.000Z","5.08","5.08","5.08","5.08","-0.0983","-0.0954","3,091"
"2025-07-25T16:37:00.000Z","5.08","5.09","5.08","5.08","0.0984","0.1013","17,355"
"2025-07-25T16:38:00.000Z","5.09","5.09","5.08","5.08","","0.0029","13,357"
"2025-07-25T16:39:00.000Z","5.08","5.08","5.08","5.08","","0.0029","8,709"
"2025-07-25T16:40:00.000Z","5.09","5.09","5.08","5.08","-0.1967","-0.1937","25,018"
"2025-07-25T16:41:00.000Z","5.08","5.08","5.06","5.07","-0.1970","-0.1941","56,031"
"2025-07-25T16:42:00.000Z","5.07","5.08","5.07","5.08","0.2962","0.2991","63,921"
"2025-07-25T16:43:00.000Z","5.08","5.08","5.07","5.07","-0.1949","-0.1920","86,652"
"2025-07-25T16:44:00.000Z","5.08","5.08","5.07","5.08","0.1716","0.1745","43,052"
"2025-07-25T16:45:00.000Z","5.08","5.08","5.08","5.08","-0.0748","-0.0719","2,989"
"2025-07-25T16:46:00.000Z","5.08","5.08","5.07","5.08","","0.0029","15,000"
"2025-07-25T16:47:00.000Z","5.08","5.08","5.08","5.08","0.0887","0.0916","9,112"
"2025-07-25T16:48:00.000Z","5.08","5.08","5.06","5.07","-0.2855","-0.2825","43,335"
"2025-07-25T16:49:00.000Z","5.07","5.07","5.06","5.07","","0.0029","65,887"
"2025-07-25T16:50:00.000Z","5.07","5.07","5.07","5.07","","0.0029","7,438"
"2025-07-25T16:51:00.000Z","5.07","5.08","5.06","5.08","0.2981","0.3010","28,685"
"2025-07-25T16:52:00.000Z","5.08","5.10","5.08","5.09","0.1988","0.2017","47,594"
"2025-07-25T16:53:00.000Z","5.09","5.11","5.09","5.11","0.2908","0.2937","60,513"
"2025-07-25T16:54:00.000Z","5.11","5.11","5.10","5.11","","0.0029","26,435"
"2025-07-25T16:55:00.000Z","5.10","5.11","5.10","5.11","","0.0029","12,556"
"2025-07-25T16:56:00.000Z","5.11","5.11","5.10","5.11","0.0588","0.0617","22,562"
"2025-07-25T16:57:00.000Z","5.11","5.11","5.09","5.10","-0.1586","-0.1557","42,576"
"2025-07-25T16:58:00.000Z","5.09","5.10","5.09","5.09","-0.1941","-0.1912","3,440"
"2025-07-25T16:59:00.000Z","5.09","5.10","5.09","5.10","0.1925","0.1955","14,255"
"2025-07-25T17:00:00.000Z","5.09","5.10","5.09","5.10","-0.0196","-0.0167","22,285"
"2025-07-25T17:01:00.000Z","5.10","5.10","5.09","5.09","-0.1510","-0.1481","16,426"
"2025-07-25T17:02:00.000Z","5.09","5.10","5.09","5.09","0.0766","0.0795","3,292"
"2025-07-25T17:03:00.000Z","5.10","5.10","5.09","5.09","","0.0029","3,780"
"2025-07-25T17:04:00.000Z","5.09","5.10","5.09","5.10","0.0981","0.1011","22,545"
"2025-07-25T17:05:00.000Z","5.09","5.11","5.09","5.10","","0.0029","62,175"
"2025-07-25T17:06:00.000Z","5.11","5.11","5.10","5.11","0.1314","0.1343","7,788"
"2025-07-25T17:07:00.000Z","5.11","5.11","5.10","5.10","-0.1312","-0.1283","1,800"
"2025-07-25T17:08:00.000Z","5.11","5.11","5.10","5.10","","0.0029","24,616"
"2025-07-25T17:09:00.000Z","5.11","5.11","5.11","5.11","0.0980","0.1010","4,336"
"2025-07-25T17:10:00.000Z","5.11","5.11","5.10","5.11","","0.0029","1,900"
"2025-07-25T17:11:00.000Z","5.10","5.12","5.10","5.12","0.1959","0.1988","68,530"
"2025-07-25T17:12:00.000Z","5.12","5.12","5.10","5.11","-0.1955","-0.1926","11,743"
"2025-07-25T17:13:00.000Z","5.10","5.10","5.09","5.09","-0.1959","-0.1930","12,589"
"2025-07-25T17:14:00.000Z","5.10","5.10","5.09","5.09","","0.0029","4,337"
"2025-07-25T17:15:00.000Z","5.09","5.09","5.09","5.09","","0.0029","8,288"
"2025-07-25T17:16:00.000Z","5.09","5.10","5.09","5.10","0.0589","0.0618","5,374"
"2025-07-25T17:17:00.000Z","5.10","5.11","5.09","5.10","0.0804","0.0833","144,872"
"2025-07-25T17:18:00.000Z","5.11","5.12","5.10","5.12","0.2528","0.2558","89,319"
"2025-07-25T17:19:00.000Z","5.11","5.12","5.10","5.11","-0.1955","-0.1926","85,004"
"2025-07-25T17:20:00.000Z","5.10","5.12","5.10","5.12","0.1959","0.1988","106,099"
"2025-07-25T17:21:00.000Z","5.12","5.12","5.11","5.12","","0.0029","12,821"
"2025-07-25T17:22:00.000Z","5.12","5.12","5.12","5.12","0.0978","0.1007","10,059"
"2025-07-25T17:23:00.000Z","5.12","5.12","5.12","5.12","","0.0029","950"
"2025-07-25T17:24:00.000Z","5.12","5.13","5.12","5.13","0.0977","0.1006","120,693"
"2025-07-25T17:25:00.000Z","5.12","5.13","5.12","5.13","","0.0029","13,145"
"2025-07-25T17:26:00.000Z","5.13","5.14","5.12","5.13","0.1951","0.1980","101,723"
"2025-07-25T17:27:00.000Z","5.14","5.14","5.13","5.14","0.0954","0.0983","73,342"
"2025-07-25T17:28:00.000Z","5.13","5.16","5.13","5.16","0.3911","0.3940","214,073"
"2025-07-25T17:29:00.000Z","5.15","5.16","5.15","5.15","-0.1143","-0.1114","60,033"
"2025-07-25T17:30:00.000Z","5.16","5.16","5.15","5.16","0.1145","0.1174","71,598"
"2025-07-25T17:31:00.000Z","5.16","5.16","5.15","5.15","-0.1512","-0.1482","93,517"
"2025-07-25T17:32:00.000Z","5.16","5.16","5.15","5.15","0.0097","0.0126","41,586"
"2025-07-25T17:33:00.000Z","5.16","5.17","5.15","5.16","0.1436","0.1465","128,884"
"2025-07-25T17:34:00.000Z","5.17","5.17","5.16","5.16","","0.0029","101,177"
"2025-07-25T17:35:00.000Z","5.17","5.17","5.15","5.15","-0.1046","-0.1017","110,099"
"2025-07-25T17:36:00.000Z","5.16","5.16","5.16","5.16","0.0058","0.0087","74,280"
